Collection_Date_(M/D/Y),Site_Name,Latitude,Longitude,Trap_Type,ID_#,Female,Species_#,"If_4,_species?",Non-Culex_ID,Species_(Culex-centric),Reproductive_Status,Mean_Primary_EFL_(unadjusted),Mean_Primary_EFL,Diapause_Status_(D/ND/T),ID_Confidence,GDD_43210_TOSPC,#_of_Samples_in_Cell:,Field_or_Culvert
9/27/2019,B - Webster,40.039153,-83.02442,Gravid,I.B10,NA,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3383,1.00,Field
9/27/2019,B - Webster,40.039153,-83.02442,Gravid,I.B11,Y,1,,,Cx. pipiens,Gravid,,,ND,L,3383,1.00,Field
9/27/2019,B - Webster,40.039153,-83.02442,Gravid,I.B12,Y,1 or 2 or 3 or 4,,,Culex,Gravid,,,ND,H,3383,1.00,Field
9/27/2019,B - Webster,40.039153,-83.02442,Gravid,I.B13,Y,2,,,Cx. restuans,Gravid,,,ND,L,3383,1.00,Field
9/27/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,I.C1,Y,1,,,Cx. pipiens,Gravid,,,ND,L,3383,1.00,Field
9/27/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,I.C2,Y,1 or 2 or 3 or 4,,,Culex,,,,,L,3383,1.00,Field
9/27/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,I.C3,N,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3383,1.00,Field
9/27/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,I.C4,Y,1,,,Cx. pipiens,Gravid,,,ND,L,3383,1.00,Field
9/27/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,I.C5,Y,1 or 2 or 3 or 4,,,Culex,,,,,H,3383,1.00,Field
9/27/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,I.C6,Y,1 or 2 or 3 or 4,,,Culex,Gravid,,,ND,H,3383,1.00,Field
9/27/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,1 of them,Y,0,,Ae. vexans,Ae. vexans,,,,,L,3383,1.00,Field
9/27/2019,D - Westerville,40.067786,-82.932134,Gravid,I.D1,Y,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3383,1.00,Field
9/27/2019,D - Westerville,40.067786,-82.932134,Gravid,I.D2,Y,4,Cx. territans,,Cx. territans,,,,,L,3383,1.00,Field
9/27/2019,D - Westerville,40.067786,-82.932134,Gravid,I.D3,Y,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3383,1.00,Field
9/27/2019,D - Westerville,40.067786,-82.932134,Gravid,I.D4,Y,1 or 2 or 3,,,Culex,Gravid,,,ND,,3383,1.00,Field
9/27/2019,D - Westerville,40.067786,-82.932134,Gravid,1 of them,Y,0,,Ae. albopictus,Ae. albopictus,,,,,H,3383,1.00,Field
9/27/2019,D - Westerville,40.067786,-82.932134,Gravid,I.D6,Y,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3383,1.00,Field
9/27/2019,E - Summit View Rd,40.131555,-83.08338,Gravid,I.E1,Y,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",NA,19.4,97,ND,,3383,1.00,Field
9/27/2019,E - Summit View Rd,40.131555,-83.08338,Gravid,I.E2,,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3383,1.00,Field
9/27/2019,E - Summit View Rd,40.131555,-83.08338,Gravid,I.E3,Y,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",Gravid,,,ND,,3383,1.00,Field
9/27/2019,E - Summit View Rd,40.131555,-83.08338,Gravid,I.E4,Y,1,,,Cx. pipiens,Gravid,,,ND,L,3383,1.00,Field
9/27/2019,E - Summit View Rd,40.131555,-83.08338,Gravid,I.E5,Y,1,,,Cx. pipiens,Gravid,,,ND,L,3383,1.00,Field
9/27/2019,E - Summit View Rd,40.131555,-83.08338,Gravid,I.E6,N,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3383,1.00,Field
9/27/2019,E - Summit View Rd,40.131555,-83.08338,Gravid,I.E7,Y,1 or 2 or 3 or 4,,,Culex,Gravid,,,ND,,3383,1.00,Field
9/27/2019,E - Summit View Rd,40.131555,-83.08338,Gravid,I.E8,Y,2,,,Cx. restuans,Gravid,,,ND,L,3383,1.00,Field
9/27/2019,E - Summit View Rd,40.131555,-83.08338,Gravid,I.E9,Y,1 or 2 or 3,,,Culex,Gravid,,,ND,H,3383,1.00,Field
9/27/2019,E - Summit View Rd,40.131555,-83.08338,Gravid,I.E10,Y,1 or 2 or 3,,,Culex,Gravid,,,ND,H,3383,1.00,Field
9/27/2019,E - Summit View Rd,40.131555,-83.08338,Gravid,I.E11,N,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3383,1.00,Field
9/27/2019,E - Summit View Rd,40.131555,-83.08338,Gravid,I.E12,N,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3383,1.00,Field
9/27/2019,E - Summit View Rd,40.131555,-83.08338,Gravid,I.E13,Y,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",NA,18.5,92.5,ND,,3383,1.00,Field
10/4/2019,A - Poultry,40.007826,-83.030031,Gravid,1 of them,Y,0,,Ae. albo,Ae. albo,,,,,H,3552,1.00,Field
10/4/2019,A - Poultry,40.007826,-83.030031,Gravid,1 of them,Y,0,,Ae. albo,Ae. albo,,,,,H,3552,1.00,Field
10/4/2019,A - Poultry,40.007826,-83.030031,Gravid,II.A3,Y,1,,,Cx. pipiens,gravid,,,ND,H,3552,1.00,Field
10/4/2019,A - Poultry,40.007826,-83.030031,Gravid,II.A4,Y,1,,,Cx. pipiens,,,,,L,3552,1.00,Field
10/4/2019,A - Poultry,40.007826,-83.030031,Gravid,II.A5,Y,1,,,Cx. pipiens,,,,,L,3552,1.00,Field
10/4/2019,B - Webster,40.039153,-83.02442,Gravid,II.B1,Y,1,,,Cx. pipiens,gravid,,,ND,H,3552,1.00,Field
10/4/2019,B - Webster,40.039153,-83.02442,Gravid,II.B2,Y,1,,,Cx. pipiens,gravid,,,ND,H,3552,1.00,Field
10/4/2019,B - Webster,40.039153,-83.02442,Gravid,II.B3,Y,1,,,Cx. pipiens,gravid,,,ND,H,3552,1.00,Field
10/4/2019,B - Webster,40.039153,-83.02442,Gravid,II.B4,Y,1,,,Cx. pipiens,gravid,,,ND,H,3552,1.00,Field
10/4/2019,B - Webster,40.039153,-83.02442,Gravid,II.B5,Y,1,,,Cx. pipiens,gravid,,,ND,H,3552,1.00,Field
10/4/2019,B - Webster,40.039153,-83.02442,Gravid,II.B6,NA,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3552,1.00,Field
10/4/2019,B - Webster,40.039153,-83.02442,Gravid,II.B7,NA,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3552,1.00,Field
10/4/2019,B - Webster,40.039153,-83.02442,Gravid,II.B8,NA,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3552,1.00,Field
10/4/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,1 of them,Y,0,,Ae. japonicus,Ae. japonicus,,,,,H,3552,1.00,Field
10/4/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,II.C2,Y,1,,,Cx. pipiens,gravid,,,ND,H,3552,1.00,Field
10/4/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,1 of them,Y,0,,Ae. vexans,Ae. vexans,,,,,H,3552,1.00,Field
10/4/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,II.C4,NA,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3552,1.00,Field
10/4/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,II.C5,NA,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3552,1.00,Field
10/4/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,1 of them,N,0,,Ae. japonicus,Ae. japonicus,,,,,H,3552,1.00,Field
10/4/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,1 of them,Y,0,,Ae. japonicus,Ae. japonicus,,,,,H,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D1,Y,1,,,Cx. pipiens,,,,,L,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D2,Y,1,,,Cx. pipiens,gravid,,,ND,H,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D3,Y,1,,,Cx. pipiens,gravid,,,ND,H,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D4,Y,1,,,Cx. pipiens,,,,,L,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,1 of them,Y,0,,Ae. japonicus,Ae. japonicus,,,,,H,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D6,Y,1,,,Cx. pipiens,,,,,H,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D7,Y,1,,,Cx. pipiens,,,,,H,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D8,N,1,,,Cx. pipiens,,,,,H,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,1 of them,Y,0,,Ae. japonicus,Ae. japonicus,,,,,H,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D10,Y,1,,,Cx. pipiens,,,,,H,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D11,Y,1,,,Cx. pipiens,,,,,H,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D12,Y,1,,,Cx. pipiens,gravid,,,ND,L,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D13,Y,"1,2,3,4",,,Culex,,,,,L,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D14,Y,1,,,Cx. pipiens,,,,,L,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D15,NA,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D16,Y,1,,,Cx. pipiens,,,,,H,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D17,Y,1,,,Cx. pipiens,,,,,L,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D18,Y,1,,,Cx. pipiens,gravid,,,ND,H,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D19,Y,1 or 2,,,Cx. pipiens or Cx. restuans,,,,,L,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D20,N,1,,,Cx. pipiens,,,,,H,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D21,N,1,,,Cx. pipiens,,,,,H,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D22,Y,1,,,Cx. pipiens,,,,,H,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D23,Y,1,,,Cx. pipiens,,,,,L,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D24,Y,1,,,Cx. pipiens,,,,,H,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D25,Y,1,,,Cx. pipiens,,,,,L,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D26,Y,1,,,Cx. pipiens,gravid,,,ND,H,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D27,Y,"1,2,3,4",,,Culex,,,,,L,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D28,Y,1,,,Cx. pipiens,,,,,L,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,1 of them,Y,0,,Ae. japonicus,Ae. japonicus,,,,,H,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D30,Y,1,,,Cx. pipiens,,,,,H,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,1 of them,Y,0,,Ae. albo,Ae. albo,,,,,H,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D32,Y,"1,2,3,4",,,Culex,,,,,L,3552,1.00,Field
10/4/2019,D - Westerville,40.067786,-82.932134,Gravid,II.D33,Y,"1,2,3,4",,,Culex,,,,,L,3552,1.00,Field
10/4/2019,E - Summit View Rd,40.131555,-83.08338,Gravid,II.E1,Y,4,erraticus,,Cx. erraticus,gravid,,,ND,H,3552,1.00,Field
10/4/2019,E - Summit View Rd,40.131555,-83.08338,Gravid,II.E2,NA,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3552,1.00,Field
10/4/2019,E - Summit View Rd,40.131555,-83.08338,Gravid,II.E3,NA,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3552,1.00,Field
10/4/2019,E - Summit View Rd,40.131555,-83.08338,Gravid,1 of them,Y,0,,Ae. japonicus,Ae. japonicus,,,,,H,3552,1.00,Field
10/4/2019,E - Summit View Rd,40.131555,-83.08338,Gravid,II.E5,Y,1,,,Cx. pipiens,gravid,,,ND,H,3552,1.00,Field
10/4/2019,E - Summit View Rd,40.131555,-83.08338,Gravid,II.E6,NA,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3552,1.00,Field
10/4/2019,E - Summit View Rd,40.131555,-83.08338,Gravid,II.E7,Y,1,,,Cx. pipiens,gravid,,,ND,L,3552,1.00,Field
10/4/2019,E - Summit View Rd,40.131555,-83.08338,Gravid,II.E8,Y,0,,Ae. japonicus,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",gravid,,,ND,H,3552,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A1,Y,1,,,Cx. pipiens,,,,,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A2,Y,1,,,Cx. pipiens,,,,,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,1 of them,Y,0,,Ae. albo,Ae. albo,,,,,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,1 of them,N,0,,Ae. albo,Ae. albo,,,,,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,1 of them,Y,0,,Ae. albo,Ae. albo,,,,,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A6,Y,1,,,Cx. pipiens,,,,,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A7,Y,1,,,Cx. pipiens,,,,,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A8,Y,1,,,Cx. pipiens,,,,,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,1 of them,Y,0,,Ae. albo,Ae. albo,,,,,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,1 of them,Y,0,,Ae. albo,Ae. albo,,,,,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,1 of them,Y,0,,Ae. albo,Ae. albo,gravid,,,ND,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A12,Y,1,,,Cx. pipiens,gravid,,,ND,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A13,Y,1,,,Cx. pipiens,,,,,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A14,Y,1,,,Cx. pipiens,,,,,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,1 of them,Y,0,,Ae. albo,Ae. albo,,,,,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A16,Y,"1,2,3,4",,,Culex,,,,,L,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A17,Y,"1,2,3,4",,,Culex,,,,,L,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A18,NA,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A19,Y,1,,,Cx. pipiens,gravid,,,ND,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A20,Y,1,,,Cx. pipiens,gravid,,,ND,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A21,Y,1,,,Cx. pipiens,,,,,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A22,Y,1,,,Cx. pipiens,,,,,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A23,Y,"1,2,3,4",,,Culex,,,,,L,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A24,NA,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A25,Y,1,,,Cx. pipiens,,,,,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A26,Y,1,,,Cx. pipiens,,,,,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A27,Y,"1,2,3,4",,,Culex,,,,,L,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A28,Y,1,,,Cx. pipiens,,,,,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A29,Y,1,,,Cx. pipiens,,,,,L,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,III.A30,NA,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,1 of them,N,0,,Ae. albo,Ae. albo,,,,,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,1 of them,N,0,,Ae. vexans,Ae. vexans,,,,,H,3628,1.00,Field
10/11/2019,A - Poultry,40.007826,-83.030031,Gravid,1 of them,Y,0,,Ae. albo,Ae. albo,gravid,,,ND,H,3628,1.00,Field
10/11/2019,B - Webster,40.039153,-83.02442,Gravid,III.B1,Y,1,,,Cx. pipiens,gravid,,,ND,H,3628,1.00,Field
10/11/2019,B - Webster,40.039153,-83.02442,Gravid,III.B2,Y,1,,,Cx. pipiens,,,,,H,3628,1.00,Field
10/11/2019,B - Webster,40.039153,-83.02442,Gravid,III.B3,Y,"1,2,3,4",,,Culex,,,,,L,3628,1.00,Field
10/11/2019,B - Webster,40.039153,-83.02442,Gravid,III.B4,Y,"1,2",,,Cx. pipiens or Cx. restuans,,,,,L,3628,1.00,Field
10/11/2019,B - Webster,40.039153,-83.02442,Gravid,III.B5,Y,1,,,Cx. pipiens,,,,,H,3628,1.00,Field
10/11/2019,B - Webster,40.039153,-83.02442,Gravid,III.B6,Y,1,,,Cx. pipiens,N?,14,70,D,H,3628,1.00,Field
10/11/2019,B - Webster,40.039153,-83.02442,Gravid,III.B7,Y,1,,,Cx. pipiens,gravid,,,ND,H,3628,1.00,Field
10/11/2019,B - Webster,40.039153,-83.02442,Gravid,III.B8,Y,1,,,Cx. pipiens,gravid,,,ND,H,3628,1.00,Field
10/11/2019,B - Webster,40.039153,-83.02442,Gravid,III.B9,Y,1,,,Cx. pipiens,,,,,H,3628,1.00,Field
10/11/2019,B - Webster,40.039153,-83.02442,Gravid,III.B10,Y,"1,2,3,4",,,Culex,,,,,L,3628,1.00,Field
10/11/2019,B - Webster,40.039153,-83.02442,Gravid,III.B11,Y,1,,,Cx. pipiens,,,,,,3628,1.00,Field
10/11/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,1 of them,Y,0,,Ae. japonicus,Ae. japonicus,,,,,H,3628,1.00,Field
10/11/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,III.C2,Y,"1,2",,,Cx. pipiens or Cx. restuans,,,,,L,3628,1.00,Field
10/11/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,1 of them,Y,0,,Aedes,Aedes,,,,,H,3628,1.00,Field
10/11/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,III.C4,NA,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3628,1.00,Field
10/11/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,III.C5,NA,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",gravid,,,ND,,3628,1.00,Field
10/11/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,III.C6,Y,1,,,Cx. pipiens,,,,,H,3628,1.00,Field
10/11/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,1 of them,Y,0,,Ae. japonicus,Ae. japonicus,,,,,H,3628,1.00,Field
10/11/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,III.C8,Y,1,,,Cx. pipiens,,,,,H,3628,1.00,Field
10/11/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,1 of them,Y,0,,Ae. japonicus,Ae. japonicus,gravid,,,ND,H,3628,1.00,Field
10/11/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,III.C10,Y,1,,,Cx. pipiens,gravid,,,ND,H,3628,1.00,Field
10/11/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,III.C11,Y,1,,,Cx. pipiens,gravid,,,ND,H,3628,1.00,Field
10/11/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,III.C12,Y,1,,,Cx. pipiens,Y,8.6,43,D,H,3628,1.00,Field
10/11/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,III.C13,Y,1,,,Cx. pipiens,gravid,,,ND,H,3628,1.00,Field
10/11/2019,C - Norris Dr.,40.044675,-82.980437,Gravid,III.C14,Y,1,,,Cx. pipiens,gravid,,,ND,H,3628,1.00,Field
10/11/2019,D - Westerville,40.067786,-82.932134,Gravid,III.D1,Y,1,,,Cx. pipiens,gravid,,,ND,H,3628,1.00,Field
10/11/2019,D - Westerville,40.067786,-82.932134,Gravid,III.D2,Y,1,,,Cx. pipiens,,,,,H,3628,1.00,Field
10/11/2019,D - Westerville,40.067786,-82.932134,Gravid,1 of them,Y,0,,Ae. vexans,Ae. vexans,Gravid,,,ND,H,3628,1.00,Field
10/11/2019,D - Westerville,40.067786,-82.932134,Gravid,III.D4,Y,"1,2",,,Cx. pipiens or Cx. restuans,,,,,L,3628,1.00,Field
10/11/2019,D - Westerville,40.067786,-82.932134,Gravid,1 of them,N,0,,Ae. vexans,Ae. vexans,,,,,H,3628,1.00,Field
